0,1,2,3,4,5,6,7,8
2021-04-09 23:59:23,YerayGomezMusic,1064663421227024384,"Bilbao, Spain",1380671715571810310,1,0,[],@LanderOtaola Hay gente que se ha puesto tibia de juerga con todo tipo de químicos durante muchos años y que ahora… https://t.co/LjgPkXHHND
2021-04-09 23:57:43,ecobenefactor,55100788,Madrid,1380671298473431040,1,0,[],"Hay más riesgo de morir por salir a la calle que por ponerte la vacuna.
Así que todos esos que hoy no acudieron a p… https://t.co/Gr1BDBQV39"
2021-04-09 23:56:29,alvaroliver,274545243,Rivas-Vaciamadrid (Madrid),1380670988501848064,1,0,[],@Anmavital @lalbert75 @john_galt80 El virus no tiene una incubación de 3 meses. A finales de marzo celebraron la pa… https://t.co/r7GuwlW71Y
2021-04-09 23:56:25,NathiGonzalezS,2706389082,La Matanza,1380670970613133317,16,5,[],"Todo muy lindo, Ellos ahí
Y mandan a los docentes, estudiantes y familias a viajar hacinados en transporte público,… https://t.co/7XuHRT9mxV"
2021-04-09 23:55:32,matuvlogs,2221800986,"Madrid, Comunidad de Madrid",1380670746582773760,3,0,[],Anda… cómo se podía prever que metiendo miedo a toda la población la gente acabaría por rechazar la vacuna? No me l… https://t.co/jqPY14ujGd
2021-04-09 23:55:16,gloriara98,582788111,"Sevilla, Andalucía",1380670678643437569,2,0,[],Si has jugado con ese caballo de playmobil estás en edad de vacunación ahora mismo https://t.co/797wzliRbc
2021-04-09 23:54:47,JoaquinSHC,430522273,Madrid,1380670558841503748,0,0,[],"@Fistroman1 @PostigoSaura39 @ierrejon La solución pues es muy fácil. Que los estados, o la ONU, hubiesen desarrolla… https://t.co/5vAMpWlVkM"
2021-04-09 23:54:24,chechu1331,2727632062,La Matanza,1380670462640930821,11,1,"[{'text': 'YoMeVacuno', 'indices': [69, 80]}]","La buena de hoy es que al gordo le llegó el turno para la vacuna!!! 
#YoMeVacuno https://t.co/YPAXUv1vwN"
2021-04-09 23:52:03,leonoticias_,38291639,"León, España",1380669872598888453,0,0,[],[VIDEO] | Casi un millar de usuarios y trabajadores de los servicios sociales de la Diputación Foral de... https://t.co/FAdA0pZlTQ
2021-04-09 23:51:22,FranGarcia_07,877890746,Águilas (Murcia),1380669699277660170,1,0,[],"@FerAranguren Si por eso en 5 meses han cambiado el Protocolo de vacunación 5 veces con Astrazeneca. 
Y por eso la… https://t.co/y9ZEEy35I1"
2021-04-09 23:51:21,AmeliaBatanero,1244038869135261697,,1380669693976006658,0,0,[],Bruselas recuerda a Ayuso que no tiene competencias para comprar la Sputnik V y que se sitúa fuera de la estrategia… https://t.co/b5N30qcVa8
2021-04-09 23:50:26,hugomrobles,138552106,Madrid,1380669464782442500,1,0,[],"Critican lo que hacen. La UE y muchos gobiernos han pinchado. Los medios, en vez de filtrar, solo han difundido el… https://t.co/csVlvM0lGl"
2021-04-09 23:48:08,alman68,1143692305,Madrid,1380668884391497733,3,0,[],"@Allende_Girl @eduardosuarez Cada año se vacuna a la humanidad, ya deberían saber cómo y con que hacerlo"
2021-04-09 23:47:55,Anmavital,1122873694324445186,"Madrid, Comunidad de Madrid",1380668831165788160,60,5,[],@PetraEsperanza @PabloDemelo @ClaraGrima Yo ni tengo miedo del covid ni considero necesaria la vacuna  para una enf… https://t.co/s1BH1HLAh9
2021-04-09 23:44:53,CarmenZ84476184,1368576217360826375,"Valencia,España",1380668069027180544,0,0,[],@j_sassenach @aneshali Pretenden masacrados como ratas??que se ponga la vacuna su p... m..
2021-04-09 23:44:31,JoaquinSHC,430522273,Madrid,1380667975724892166,0,0,[],"@Fistroman1 @PostigoSaura39 @ierrejon Pues tendrán cosas muy criticables en la pandemia, sistema sanitario, etc, pe… https://t.co/SEC03RhC1o"
2021-04-09 23:41:48,monicabuenof,1091468456107696128,"Madrid, España",1380667291986190338,1,0,[],@ccarballo50 Cuando la clase política pierde la credibilidad y se desdice continuamente esta es una reacción muy no… https://t.co/BPAi3W7HI7
2021-04-09 23:41:37,sandymmv,2995806425,"Zaragoza, España",1380667244410249217,0,0,[],"Valorando con datos, tal como hay que hacerlo, los riesgos graves de la vacuna de AstraZeneca comparados con otros… https://t.co/LHfJ1QAfGf"
2021-04-09 23:40:33,GranaMurcia,716919599070060544,"Murcia, España",1380666977530826760,0,0,[],"@Rodrigueezzp Hay quienes toman ron negrita  pero a la vacuna le temen. 
Ocurrir, ocurre."
2021-04-09 23:39:42,Atucasaallorar,540050821,"Alicante, España",1380666761897508866,3,0,[],"@xop_de @1000genes Yo me fio mucho más de mi perro que de la ""vacuna"", y ya no digamos del Coronado este, que curio… https://t.co/x0p6Fo9A9p"
2021-04-09 23:39:16,DeliDlia,482044859,Irún,1380666653298548736,0,0,[],"""Expertos en salud alertan sobre el riesgo de rechazo a la vacuna AstraZeneca y explican efectos de fármacos""  https://t.co/2xjl0fbwfq"
2021-04-09 23:31:16,MrVictorToller,123070939,"Madrid, España",1380664640036814848,3,0,[],Yo me vacuno con lo que sea. Aunque la vacuna la hiciera @Cruzcampo.
2021-04-09 23:30:30,GabrielOntana,560643794,"Madrid, España",1380664446939496449,0,0,[],"""Suspender AstraZeneca para menores de 60 es un error, pero hará que vacunemos por fin a todos los mayores""… https://t.co/XQONDjhHLC"
2021-04-09 23:30:25,chemarilerdo,140228444,Madrid,1380664427469545481,1,0,[],"@edugalan @_josecoronado_ Dimes y diretes, bulos y rumores...
https://t.co/KvSxJFxmCH"
2021-04-09 23:29:19,Atucasaallorar,540050821,"Alicante, España",1380664150205038594,4,0,[],"@ChakNorris93 @ppcampos99 Diles que la vacuna es una trómbola, nunca sabes qué te va a tocar."
2021-04-09 23:29:14,yotele,720594187,Madrid,1380664128537264129,17,3,[],"⚡️ José Coronado también se vacuna contra la covid-19: ""Me han puesto la de Astrazeneca, la mejor""… https://t.co/liuRRjKV06"
2021-04-09 23:23:19,MARICRUZ_47,889870648683749377,"Madrid, Comunidad de Madrid",1380662639030898688,0,0,[],@doctorgaona @LRsecreta @DrMacip Pues a este paso no sé qué vacuna ponernos...
2021-04-09 23:23:15,AlarcosAngeles,3258498922,"Móstoles, España",1380662624585678850,0,0,[],Madrid negoció la compra de la Sputnik y Twitter ya entona el himno soviético https://t.co/HwoU3N49BJ
2021-04-09 23:23:08,ingvarrhan,954355137916620802,"Madrid, Comunidad de Madrid",1380662594428620804,1,0,[],"Si AMLO recibe vacuna en palacio nacional , porque ese día no van profesionales de la salud del sector""privado"" par… https://t.co/zOKcXQqy54"
2021-04-09 23:21:17,Fer_martinmoro,353218351,"Madrid, Spain",1380662126264659968,6,1,[],"El Dr Emilio Bouza habla en el @Icomem_Oficial sobre la vacuna de AstraZeneca desarrollada en @UniofOxford 💉 

- ¿M… https://t.co/MbPWB5UX1A"
