0,1,2,3,4,5,6,7,8
2021-04-15 23:59:19,Maria10303097,1046306762,Madrid,1382846026076327937,0,0,[],El mote con el que Ana Rosa bautiza a Sánchez en Telecinco tras el último revés a su plan de vacunación https://t.co/ylDvKKDYjk
2021-04-15 23:53:43,ladymiautito,236613949,Madrid - España,1382844616064532482,0,0,[],"@satancucufato A mis suegros le ponen la primera dosis, pero a mis padres l s han dicho que les toca esperar a que… https://t.co/WZyr7G1nUX"
2021-04-15 23:52:05,Chris_Andres_69,3295670181,"Madrid, Comunidad de Madrid",1382844205580615684,0,0,[],"@Anto_Yanez_Rgz @alfreyes14 Precisamente, es una cuestión de probabilidades, riesgo asumible frente a beneficios. E… https://t.co/vq0jaFWuli"
2021-04-15 23:51:30,rosaaariomiras,1016650732085407746,"Región de Murcia, España",1382844059736276993,2,0,[],acaban de sexualizar... una vacuna?? https://t.co/A3VKyHr6NY
2021-04-15 23:50:53,YeclaRuidosa,2897290373,Yecla,1382843906207940610,0,0,[],El vídeo que estás viendo corresponde a un centro de vacunación de Moderna en Texas. Se recomienda a los vacunados… https://t.co/yCQ8lby6QS
2021-04-15 23:49:33,Vanessanc84,1368468890171416577,"Madrid, Comunidad de Madrid",1382843568771981316,0,0,[],@Espino8M @MediasNegras12 @ComunidadMadrid @sanidadgob Parece que has sido de los agraciados que no se le ha muerto… https://t.co/YM1UlaVXxX
2021-04-15 23:48:46,Vespertina1,512256841,Madrid,1382843372709277697,0,0,[],Madrid empieza a vacunar a los mayores de 70 años que acudan a los centros de salud sin cita previa… https://t.co/DbJ2SwJ00D
2021-04-15 23:48:26,RRD50627008,1217203987465850881,"Madrid, Comunidad de Madrid",1382843288730882051,1,1,[],@JesusMedinaMot1 @BernaldoDQuiros @aylobiu @marialp80 @ardesangres @LuluOtraVez @aquetemat0 Ya tendré tiempo de lee… https://t.co/T5GqIxr8uv
2021-04-15 23:47:43,mariahuerta2021,1347572745794691074,"Comunidad de Madrid, España",1382843106178048000,2,1,[],@FLMIRONES @Oespinar1 Si inmunizara❓no habría ya fallecidos.  Imaginese que Pepe de 67 años se pone enfermo. Con lo… https://t.co/rlnC4hquto
2021-04-15 23:38:00,Naturaleza64,539982565,Madrid,1382840661490155522,0,0,[],@Nela44636322 @FLMIRONES Y si acabas de pasar el virus para qué se vacunan con una vacuna que de modo alguno da inm… https://t.co/VD44hqiDsW
2021-04-15 23:36:57,Pipo_242,394375840,"Madrid, España",1382840399048413185,1,0,[],"¿Una vacuna anual... de por vida? El CEO de Pfizer cree ahora que las dos dosis no serán suficientes
https://t.co/XowlLu3Xyj"
2021-04-15 23:36:46,Mynestrillas,81106677,Madrid,1382840351866691585,18,15,[],"Y probablemente es cierto, solo que Covid solo tiene un porcentaje mínimo de población, de los cuales muchos han ge… https://t.co/1IaLkcnN7G"
