0,1,2,3,4,5,6,7,8
2021-04-17 23:55:23,LaHeidi_1,273126215,La Selva,1383569812966711298,0,0,[],Catorce municipios de México se niegan a aceptar la campaña de vacunación contra el covid-19 https://t.co/LsgiwVGGeT
2021-04-17 23:53:57,FashionDeejay,32351322,"Bilbao, España",1383569453913296913,2,0,[],@20m Grandes esperanzas en la vacuna española.
2021-04-17 23:53:51,LaHeidi_1,273126215,La Selva,1383569426662903811,0,0,[],"Las personas que reciban la vacuna  de Pfizer contra el covid-19 ""probablemente"" necesitarán una tercera dosis en u… https://t.co/1kmZL4EaGq"
2021-04-17 23:53:17,AlarcosAngeles,3258498922,"Móstoles, España",1383569285319041026,1,0,[],Médicos de Países Bajos alertan: paciente en la UCI tras rechazar la vacuna https://t.co/KrRa1tWIpI
2021-04-17 23:42:32,CanastiBebe,4786091597,"Madrid, Comunidad de Madrid",1383566581028900872,0,0,[],Pfizer comunica el 100% de eficacia de su vacuna en menores de entre 12 y 15 años https://t.co/YQHbjWNbcP
2021-04-17 23:38:08,MOISSDAYN1,1233369315526750211,Badajoz,1383565470024884224,1,0,"[{'text': 'COVID19', 'indices': [0, 8]}]",#COVID19 ¿Alguien piensa que el hecho de que la vacuna de Pfizer se haya desarrollado en un laboratorio pertenecien… https://t.co/AtMZPMenHU
2021-04-17 23:36:14,Blackman2412_,980922274516750337,,1383564994004983809,1,0,[],"@DavidSh1306 @GirautaOficial Las vacunas, al igual que el resto de fármacos, pasan por ensayos clínicos que constan… https://t.co/p3SR4Gol9r"
2021-04-17 23:33:21,Blackman2412_,980922274516750337,,1383564268394606592,1,0,[],"@2Raquiflor @GirautaOficial No, los ensayos clínicos, generalmente, tienen cuatro fases. En la primera, se evalúa l… https://t.co/RXPrDjqmPG"
2021-04-17 23:32:34,AranchaArribas,340867640,"Valladolid, España",1383564071450992644,1,0,[],@OLAQFAS Odiar a @Tamara_Falco_ por su irresponsabilidad ante la pregunta sobre la vacuna. Debió abstenerse de reac… https://t.co/fPQKkPrFGT
2021-04-17 23:30:30,diarioas,7996522,Madrid,1383563549453082627,28,12,[],"🦠 El virólogo Luis Enjuanes considera que la vacuna contra el coronavirus tendrá que ser actualizada cada año, de f… https://t.co/8Ob1C9GYww"
