0,1,2,3,4,5,6,7,8
2021-04-11 23:59:40,pradoazul,954438151,"Madrid, España",1381396562023219202,1,1,[],"@IdiazAyuso De modo que usted, acusa a Sanidad de crear confusión y ""dar palos de ciego"" con la vacuna de AstraZene… https://t.co/DNAnONYoCm"
2021-04-11 23:56:43,NandoCapace,50382979,"Comunidad de Madrid, España",1381395822986854401,0,0,[],"Ojalá aceleren la vacunación aquí, de verdad necesito salir de Madrid ó España unos días mentalmente 🙁"
2021-04-11 23:54:35,imazinazioa,253810017,Urdazubi,1381395285872680961,1,1,[],"@Gurutxe1 @srdsan Ayer tome algo con tres personas, uno dijo que en cuanto le llamen, se la pone. Dos mujeres dijer… https://t.co/Cc5ktvDJKV"
2021-04-11 23:52:58,Federuas,237464699,MADRID/ ESPAÑA,1381394876600877065,0,0,[],"@ElHuffPost Vivo en la sierra noroeste y me citan en el puñetero Zendal, a las 09h para la vacuna, que está a 50' e… https://t.co/AqZ8JUjax7"
2021-04-11 23:48:40,Rukiahimeko,178695275,"Valencia, España",1381393794457800706,0,0,[],"@EvilAFM Mi madre, santa adivina, ya dijo que éste iba de coca hasta arriba en el vídeo aquel tan famoso. Pero ojo!… https://t.co/27bMZRSS97"
2021-04-11 23:47:57,M4rioLM,119034074,Comunidad de Madrid,1381393613112901632,2,1,[],"Pues después de la entrevista de Miguel Bosé en lo de Évole, la conclusion es que el que se estuvo metiendo 2 gramo… https://t.co/QUotiowfe6"
2021-04-11 23:47:25,FtcVlcia,136884376,"Valencia, España",1381393482493927434,0,0,[],@PODEMOS Lo que no entiendo es por que no vacuna en los ambulatorios...🙄
2021-04-11 23:46:37,Mai__Atienza,1321159003766988801,"Zaragoza, España",1381393277509890049,1,0,[],Me parece penoso que no se esté dando prioridad en la vacunación a los trabajadores de supermercado después de habe… https://t.co/42G9aKAgAj
2021-04-11 23:45:55,Manzorro_LuisR,1262530575270924294,Alcorcón (Madrid),1381393103383375874,41,20,[],¿Alguien me puede explicar por qué el ritmo de vacunación con Moderna es tan lento? https://t.co/3PEA6G2B0C
2021-04-11 23:45:27,QVEF_,846014246009913344,Murcia,1381392985493999618,55,2,[],"La vacuna española es intranasal, verás qué alegría se lleva"
2021-04-11 23:44:34,M4rioLM,119034074,Comunidad de Madrid,1381392762222878720,1,0,[],@manuelansede @rafa_morata pero luego meterse una vacuna es una locura.
2021-04-11 23:43:03,GemmaMerinoM,219422621,Madrid,1381392379987554304,0,0,[],"@AinaraOrtega7 @JuanMa_Moreno Pues ese es el tema de mi queja, no hay criterios médicos en los protocolos de vacuna… https://t.co/sXF4zAAAdM"
2021-04-11 23:41:41,QVEF_,846014246009913344,Murcia,1381392038374092803,634,118,[],"Vacuna aprobada por la EMA: 🚫🚫🚫
Cocaína adulterada con medicamentos de uso veterinario que ha venido a España en un… https://t.co/J9RIUvTrdO"
2021-04-11 23:40:43,sorricilla,498264355,"Valencia, España",1381391796052316161,0,0,[],"@hablaqueescucho 😘😘  él tiene buen humor pero ya veremos las consecuencias porque, de momento, se ha quedado sin vacuna..."
2021-04-11 23:39:58,DiegoTorres1992,262516996,"Valencia,España",1381391604414550019,2,0,[],"@soyRayden @irenelopez94 Vaya borrego, si ahora hay más muerte con la vacuna"
2021-04-11 23:39:30,Mai__Atienza,1321159003766988801,"Zaragoza, España",1381391489624895498,0,0,[],Sé que ahora mismo no se vacuna a menores de 60 pero es que se cambia tanto de criterio últimamente que no me fío e… https://t.co/7HFZc1eI5H
2021-04-11 23:38:29,Mai__Atienza,1321159003766988801,"Zaragoza, España",1381391233709395970,0,0,[],"Más allá de la transmisión comunitaria, para todos aquellos que llevamos cumpliendo las medidas todo este tiempo y… https://t.co/q3pg1VycqI"
2021-04-11 23:37:39,ConossInvestme1,1355170792011653124,"Valencia, España",1381391022433955843,1,0,"[{'text': 'libra', 'indices': [3, 9]}, {'text': 'AstraZeneca', 'indices': [55, 67]}]","La #libra se desinfla por las dudas sobre la vacuna de #AstraZeneca.

La libra corta en seco su ascenso frente al d… https://t.co/kANJ7evNyr"
2021-04-11 23:37:31,nxrea_,355045542,València,1381390988346859524,0,0,[],me dejo la nariz sin tabique de la coc4 pero no me pongo la vacuna del covid que es esperimental
2021-04-11 23:37:29,jpmjpmjpm,1198845188,"Comunidad de Madrid, España",1381390980423811075,2,0,[],"@_anapastor_ @AlmeidaPP_ Esta periodista no dice una verdad, se paro la vacunación de Pfizer porque se pusieron tod… https://t.co/tkIAVC6tlU"
2021-04-11 23:36:38,GemmaMerinoM,219422621,Madrid,1381390766937886724,0,0,[],"@AinaraOrtega7 @JuanMa_Moreno El tema no es cuestionar la seguridad, doy por hecho que las vacunas son seguras, per… https://t.co/AqWIlCobjK"
2021-04-11 23:36:37,salmantino39,207891479,Salamanca,1381390760952659969,1,0,"[{'text': 'Salamanca', 'indices': [12, 22]}]",🆘Vacunación #Salamanca nacidos entre 1942 y 1947 🆘 https://t.co/Zv88zpw4wp
2021-04-11 23:34:09,periaguda,3297655289,Sur de España.,1381390141042929667,2,0,[],"Cuba jamás defrauda, pese al bloqueo inhumano al que está sometida por parte de EEUU. Toda mi admiración. 

La OMS… https://t.co/A9UwfCobBd"
2021-04-11 23:33:44,sivaritta,390353484,Madrid,1381390037401661442,0,0,[],"@mianrey @ccarballo50 @PabloFuente  Karl Stefanovic, uno de los presentadores estrella de TV de Australia, ha recon… https://t.co/kmoorKYMAt"
2021-04-11 23:32:50,mikihoyos,289228483,"Comunidad de Madrid, España",1381389810779238408,11,10,"[{'text': 'Sánchez', 'indices': [0, 8]}, {'text': 'Ayuso', 'indices': [11, 17]}, {'text': 'VACUNACION', 'indices': [75, 86]}]","#Sánchez a #Ayuso: ""La libertad es vacunar y vacunar"" y no ""sembrar dudas"" #VACUNACION oCONTAGIOS… https://t.co/3Hk99exFSG"
2021-04-11 23:32:07,miguel_vicky,453954888,Madrid,1381389628847104005,1,1,"[{'text': 'COVID19', 'indices': [67, 75]}]",La @opsoms da categoría de excelencia a la vacuna cubana contra la #COVID19 «Soberana 2» 🇨🇺 https://t.co/uL49ui69jf vía @diarioelcomun
2021-04-11 23:31:12,GemmaMerinoM,219422621,Madrid,1381389400815382528,0,0,[],@AinaraOrtega7 @JuanMa_Moreno Si para este grupo se ha establecido una tipología de vacuna (ARNm) con una efectivid… https://t.co/IdzZOY12fb
2021-04-11 23:29:51,Manzorro_LuisR,1262530575270924294,Alcorcón (Madrid),1381389059709403151,28,23,"[{'text': 'COVID19', 'indices': [0, 8]}]","#COVID19 Campaña de vacunación a nivel nacional 🇪🇸
➡️ 12.001.515 dosis recibidas  
➡️ 11.993.715 dosis entregadas a… https://t.co/S9hQfFzMtt"
2021-04-11 23:25:54,M4rioLM,119034074,Comunidad de Madrid,1381388066116542467,0,0,[],@abajomonarquia @FonsiLoaiza @RojaRojae 24 horas antes de publicarlo él. Acaso  crees que se entero llamando al gob… https://t.co/ChVbQAJEwz
2021-04-11 23:23:12,GemmaMerinoM,219422621,Madrid,1381387385787781126,0,0,[],@AinaraOrtega7 @JuanMa_Moreno Se lleva trabajando en vacunas de ARNm décadas. El matiz de estas: se desarrollan en… https://t.co/Q5jbrW9CWI
2021-04-11 23:21:21,livmediapy,365487167,Luque,1381386921306382339,14,4,[],"78 FALLECIDOS, si no me equivoco es el número más alto hasta ahora.

Acá Marito tiene que renunciar, también Borba.… https://t.co/Ut1fFfq5UG"
2021-04-11 23:18:13,pradoazul,954438151,"Madrid, España",1381386131518808066,2,0,[],"@yoliluke @P__glamour @Klass_Klass_ ¿Sabes qué vacuna le administraron, fué Astra Zeneca?"
2021-04-11 23:13:50,Sara02_06,1024447970,Móstoles,1381385029381672963,0,0,[],Pero ojo cuidado a ver qué nos meten en la vacuna... Es que ojoooooo https://t.co/LTTO1LPszb
2021-04-11 23:13:04,albuuuchi,1194692037557309440,"Salamanca, España",1381384837555220481,6,0,[],Esta semana vacuna a mí abu 🥰 estoy livinnnnng
2021-04-11 23:12:53,Catii14vk,2296449219,vallecas,1381384791476568065,0,0,[],Mi mami hace 2 meses cogio covi un poco fastidiada y ahora más jodida por la vacuna!! 💉 Venga mamá k mañana ya está… https://t.co/QSviuxvyCH
2021-04-11 23:12:26,lessunflowers,76398326,"Andalucía, España",1381384676737171459,0,0,[],@cookingmaga A pedirle al perro sanxe que me ponga ya la vacuna pa que pueda darle un beso a la lucía
2021-04-11 23:12:10,fejevese99,1009737571486916608,Murcia,1381384609477328896,10,0,[],"Pero la vacuna no, desgraciao, no te vaya a sentar mal https://t.co/g1o3OB1Ibp"
2021-04-11 23:10:12,Manzorro_LuisR,1262530575270924294,Alcorcón (Madrid),1381384112980824066,16,10,"[{'text': 'COVID19', 'indices': [0, 8]}]","#COVID19 Evolución de la campaña de vacunación a nivel nacional 🇪🇸
➡️ La cifra de dosis entregadas a las CC.AA se a… https://t.co/jk2KdJvcrT"
2021-04-11 23:09:33,Funes_1998,378817269,"Sevilla, Andalucía",1381383953110683648,2,0,[],"POOOOOOLVORAAAA

Ah pero luego la vacuna y la máscarillas no que son malas jajajajajja https://t.co/QeaF4g2I3C"
2021-04-11 23:09:01,abejarhugo,1081935012822482944,"Cuenca, España",1381383817265561601,1,0,[],"¿La gente que no se vacuna porque no saben ""lo que le van a meter"" y luego se drogan son subnormales?"
2021-04-11 23:07:20,ktpasaco,4211659473,"València, Espanya",1381383393624084484,2,1,[],Alguien piensa k toda esta movida d los trombos con la vacuna AstraZeneca y lo loca q se ha vuelto la gente ha sido… https://t.co/c2euUcmNx2
2021-04-11 23:06:36,jacintofv,391418395,sevilla,1381383207875190786,0,0,[],"@EvaRodr81477644 @DaniNovarama @overs79 Lo primero dep, y lo segundo en 24h dudo que fuera reacción a ninguna vacuna"
2021-04-11 23:06:12,miguelnombela,141317278,Madrid,1381383106637271042,0,1,"[{'text': 'COVID19', 'indices': [63, 71]}]",La OMS da categoría de excelencia a la vacuna cubana contra la #COVID19 Soberana 2 https://t.co/TFa6TZLQLK Vía… https://t.co/2C5lz4widQ
2021-04-11 23:05:31,dpr_00,14412820,"Comunidad de Madrid, España",1381382937367699457,0,0,"[{'text': 'Argentina', 'indices': [12, 22]}, {'text': 'Sinovac', 'indices': [30, 38]}]",@DathosBD 👉 #Argentina vacuna #Sinovac https://t.co/XpPAfnWiuN
2021-04-11 23:05:09,delquintopiso,2312434232,Granada,1381382845751496704,1,0,[],"@sindi584 Me vacunaron en mi centro de Salud el miércoles 7 por la tarde con la AstraZeneca y la verdad, tuve más m… https://t.co/zfy3Pu2nio"
2021-04-11 23:03:57,DeliDlia,482044859,Irún,1381382543996555265,0,0,[],"""Expertos en salud alertan sobre el riesgo de rechazo a la vacuna AstraZeneca y explican efectos de fármacos""  https://t.co/2xjl0fbwfq"
2021-04-11 23:03:40,bedstviye,3075072862,"Comunidad Valenciana, España",1381382470881456128,0,0,[],"pero luego la vacuna no, no vaya a ser... https://t.co/X6RxBdbW4e"
2021-04-11 23:02:27,alfarmada,38643752,Madrid,1381382162696581126,0,0,[],@elhotzo (traducción del alemán: Ricardo Bada) : Los alemanes se quejan de una vacuna que sólo les ofrece 70% de se… https://t.co/gDXAc62iZQ
2021-04-11 23:02:12,DiosSol_1986,1277023391971717121,"Logroño, España",1381382100704714752,1,0,[],"@jcnanalon Que relacionen la muerte a la vacuna,dirán infarto pero no su causa,que sin duda es la vacuna,encaja en… https://t.co/L9GospB9kD"
2021-04-11 23:02:06,jatirado_oc,1034559695808356352,"Madrid, Comunidad de Madrid",1381382077359083521,2,2,"[{'text': 'Sociedad', 'indices': [0, 9]}]",#Sociedad CORONAVIRUS BRASIL - Brasil concluye la vacunación de una ciudad entera en un experimento mundial inédito… https://t.co/sBtle7V4IN
2021-04-11 23:01:40,gloriara98,582788111,"Sevilla, Andalucía",1381381968668069898,8,1,[],Ah pero la vacuna y las mascarillas........... https://t.co/7w4YaXco7k
2021-04-11 23:01:36,DiosSol_1986,1277023391971717121,"Logroño, España",1381381948447293440,2,1,[],"@jcnanalon Aquí en mi zona se han cargado a una con la vacuna hace poco,estaba perfectamente cincuenta y pico años,… https://t.co/CLncRdoLSw"
2021-04-11 23:01:12,karola_pons,3400891054,Madrid,1381381850472583168,3,2,[],"SIN EMBARGO, NADIE DICE QUE SE SOMETIÓ A LA INOCULACIÓN DE LO QUE HACEN LLAMAR ""VACUNA"" RECIENTEMENTE 👇 https://t.co/DRFhABNN4d"
