0,1,2,3,4,5,6,7,8
2021-04-23 23:58:35,24matins_es,895253267864846336,"Madrid, Espagne",1385744943306534914,1,0,[],Pfizer prepara “para el verano” una versión de su vacuna más fácil de conservar (presidente a la AFP)… https://t.co/mSReGMONj0
2021-04-23 23:57:15,AHSA717,157418489,Gaia,1385744611415662592,0,0,[],"@T13 Irresponsable, Golpista y Miserable, señor @guillier más dignidad PERDIO por una amplia mayoría, como se le oc… https://t.co/03fub6sztu"
2021-04-23 23:52:53,JohnCockLetas,272413066,"Alicante, España",1385743508737249280,0,0,[],"@AndaluzaRojilla @PabloEchenique No son los progues lo que me repudia, me da asco la gente que niega la verdad, fom… https://t.co/dUi0GYIsJk"
2021-04-23 23:50:38,demelzaankara01,2503704333,"Cantabria, España",1385742942946611202,0,0,[],@FranciscoJMP81 @constan01 @CarlosMontas13 Y si seguimos con ellos a pesar de la vacunacion a ti eso no te da cosas… https://t.co/lPN7rjLO3m
2021-04-23 23:49:57,waljac88,449973154,Luque,1385742770694938624,0,0,[],@peztresojos @delpynews @elindepepy @elnacionalpy @adn_paraguayo @5diasPY @LaUnionAM @Cronica_Py @javierpanza… https://t.co/Qe8gVwIR4Z
2021-04-23 23:48:47,demelzaankara01,2503704333,"Cantabria, España",1385742479266308099,0,0,[],"@FranciscoJMP81 @constan01 @CarlosMontas13 No compañero, las vacunas son una cosa y esto es otra muy distinta. Cult… https://t.co/Jeq7MV1OUa"
2021-04-23 23:42:26,jiminguez44,398978686,Madrid,1385740879307153417,6,4,[],"Siguen las muertes 

https://t.co/nYSfcu8iB4"
2021-04-23 23:31:18,filomeno137,1282646934919041025,"Lérida, España ",1385738080930254848,0,0,[],@AscoDeGobierno2 @VelozCaracol La vacuna hace desparecer niños ahora?? Joder el Nuevo orden mundial lo dirige Harry Potter xd
2021-04-23 23:31:00,diarioas,7996522,Madrid,1385738002702340097,29,10,"[{'text': 'Actualidad', 'indices': [0, 11]}]","#Actualidad 
📍 Cita para la vacuna en Madrid: cómo pedir, requisitos, link y grupos de edad
https://t.co/EP3IkdUIgx"
2021-04-23 23:29:50,filomeno137,1282646934919041025,"Lérida, España ",1385737712154693633,0,0,[],@AscoDeGobierno2 Complice yo que tengo conciencia social o tu que tienes la cabeza metida en el culo y te gusta jug… https://t.co/Fa8VQ8JXhv
2021-04-23 23:29:33,Rafael010010,1340372795524587521,"Madrid, Comunidad de Madrid",1385737637219213313,2,0,[],"@europapress Señor Marlaska, creo que no se lo han preguntado: ¿Ha cometido la Generalitat un delito de omisión al… https://t.co/jSlXMtgCdU"
2021-04-23 23:27:19,Lavidaespera1,1236066035868069889,"Madrid, Comunidad de Madrid",1385737076738494471,1,0,[],"@vbaosv @kanepapb @aquilulu Ya se había empezado a vacunar en hospitales, concretamente a mis padres en la fundació… https://t.co/ycMwwOiYpf"
2021-04-23 23:27:06,DeliDlia,482044859,Irún,1385737023865200643,0,0,[],"""La OMS no ha otorgado la ""categoría de excelencia"" a la vacuna cubana Soberana 02, reportan El Sabueso y fact-chec… https://t.co/jquM3FLPSO"
2021-04-23 23:19:50,jalavila,87799736,Salamanca,1385735194582429696,0,0,[],Análisis contextualizado de beneficios y riesgos de la vacuna frente a la COVID-19 de Astrazeneca https://t.co/dD4kU3Chnj
2021-04-23 23:19:34,ramon_sjb,1416413503,Euskal Herria,1385735126194212865,3,0,[],"4️⃣Mezclar vacunas: seguras por separado, posiblemente también lo serán combinadas, pero ¿qué hay de inmunidad gene… https://t.co/FaazQjYmax"
2021-04-23 23:14:04,EFEnoticias,105082141,Madrid,1385733740979175425,68,43,"[{'text': 'EFEURGENTE', 'indices': [0, 11]}, {'text': 'coronavirus', 'indices': [88, 100]}]",#EFEURGENTE | El regulador de EE.UU. da luz verde a reanudar la vacunación con J&amp;J. #coronavirus https://t.co/kDD8VUlRS5
2021-04-23 23:14:00,ElHuffPost,364528766,"Madrid, Spain",1385733724369793032,3,3,[],Recadito a la EMA https://t.co/Y0BqxFZKpm
2021-04-23 23:11:09,MendozaJuanmi,524848428,"Mazarrón, Murcia",1385733008498515969,1,0,"[{'text': 'EfectoRC', 'indices': [49, 58]}]","@bullense1931 El domingo os ponemos la vacuna 💉

#EfectoRC"
2021-04-23 23:10:15,MasLatina_,1066780999865040896,"Madrid, Comunidad de Madrid",1385732782358474752,2,0,[],"Ahí estaremos! 
👩🏻‍⚕️Para aumentar nuestro personal sanitario
📝Para exigir rastreadores
🏨Por la apertura de los Cen… https://t.co/9o845qaV0f"
2021-04-23 23:10:02,JoseSolerGil,109214190,Alginet - Valencia,1385732725827588104,1,0,[],"@CoronaVid19 Te quedan hasta que saquen la vacuna española, y la variante de astrazeneca que se snifa, ahi en 7 dia… https://t.co/HlPzL3yoHl"
2021-04-23 23:09:45,BernaldoDQuiros,2960115814,Madrid,1385732654851575819,5,2,[],"@benferri50 @MichaelPoolSnc1 @capitanstubby @elreyenelborde @dlacalle Amigo mío, es que aún alucino con gente que d… https://t.co/urKUQZFXMd"
