0,1,2,3,4,5,6,7,8
2021-04-07 14:46:03,ElDiaSegovia,734327198136565760,"Segovia, España",1379807689874804736,0,0,[],La vacunación masiva se reanuda mañana en Segovia con dosis de Pfizer y Moderna para los nacidos en 1942 y 1943 https://t.co/m5NWNl9LaR
2021-04-07 14:46:02,EdMorenoA,114043574,"Zaragoza, Spain",1379807686972293123,2,0,"[{'text': 'AstraZeneca', 'indices': [82, 94]}]",En la rueda de prensa han comparado el caso del efecto secundario de la vacuna de #AstraZeneca con los anticoncepti… https://t.co/BeiUWk8dZt
2021-04-07 14:45:46,antonello,811737,Málaga / Madrid,1379807619586613251,7,4,[],"Creo que el análisis de riesgo que está haciendo mucha gente no es tanto ""el riesgo es x, entonces no me pongo la v… https://t.co/aGwH9RwJjR"
2021-04-07 14:45:42,ComunidadMadrid,122353251,"Comunidad de Madrid, España",1379807602880741379,317,116,[],"‼ Incorporamos este fin de semana a 10 hospitales públicos a la estrategia de vacunación frente al COVID-19 ‼

👉 Es… https://t.co/ByGk1jJFdW"
2021-04-07 14:45:38,donkerin22,3138363219,Zaragoza; Spain,1379807583003934721,0,0,[],"La Agencia Europea del Medicamento considera los trombos ""un efecto secundario"" muy raro de la vacuna de Astrazenec… https://t.co/mP5tinkCOU"
2021-04-07 14:45:34,raquelcgonz,1009887731533668352,"Zaragoza, España",1379807568231555072,19,1,[],miedo a la vacuna? JAJAJJA ni que fuese la del VPH. esa sí que daba miedo y ahí fuimos con nuestro papo bien gordo… https://t.co/4kWRRKXVMR
2021-04-07 14:45:30,_infoLibre,603884167,Madrid,1379807550556811268,33,15,[],"La EMA asegura que ""la combinación informada de coágulos sanguíneos y plaquetas bajas en sangre es muy rara, y los… https://t.co/igGK0nVM6Y"
2021-04-07 14:45:26,alfonso_casi,751842996,"Vitoria-Gasteiz, España",1379807536124207109,5,1,[],Comunicado del Comité de seguridad de la EMA 7/4/21 sobre la vacuna COVID-19 de AstraZeneca: La EMA encuentra un po… https://t.co/nExhIqeYQp
2021-04-07 14:45:18,JotaceGr,347468231,"Oporto, Portugal",1379807499126194183,0,0,[],"@Agus_Martinez58 @IdiazAyuso @gencat ¿Por qué no dejan ustedes de hacer el ridículo? 🤦‍♂️
🔴  ÚLTIMA HORA | Un día d… https://t.co/5YHo5lraa2"
2021-04-07 14:45:16,luisuarez82,516646482,Madrid,1379807491740086282,0,2,[],La EMA recomienda llamar al médico si hay los siguientes síntomas tras recibir la vacuna de AstraZeneca https://t.co/d4No4qjfnr
2021-04-07 14:45:05,Javi_Coro,242785867,Reino de España,1379807445690806278,0,0,[],⬇️⬇️Estos son los que reparten las vacunas⬇️⬇️ Espero que los que votan en Madrid tomen buena cuenta de que no se v… https://t.co/q87lXD59Kh
2021-04-07 14:45:03,noticiascyl,226909192,Castilla y León,1379807439760064516,3,3,[],💉Vacunación en Segovia para los nacidos en 1942 y 1943 con Pfizer y Moderna 💉 https://t.co/k4iQFdc1Jr
2021-04-07 14:45:00,telemadrid,31430065,Madrid (Spain),1379807425276956680,4,2,[],Estados Unidos ha pasado de ser zona cero de la pandemia a ser la envidia del mundo en el proceso de vacunación.… https://t.co/zBhTJxsBXj
2021-04-07 14:44:56,yosoykizu,256063971,"Madrid, España",1379807408642461698,0,0,[],"@gushellvig @sanxee4 @phoskis @_swiftdreams Yo he tenido el Covid 2 veces,tengo anticuerpos,no necesito la vacuna."
2021-04-07 14:44:54,cordonbleu4,917513785,"Madrid, España",1379807399767384068,0,0,[],Llega la primera vacuna COVID para animales https://t.co/5iEjZsyZtp a través de @muyinteresante
2021-04-07 14:44:47,dfef2_0,509079666,Comunitat Valenciana,1379807373028655104,0,0,[],Colomer califica la Semana Santa como “complicada” y apunta al segundo semestre de 2021 para el “resurgir del turis… https://t.co/NYUkrrHLzk
2021-04-07 14:44:44,Rjubej,1116373886457741312,"Madrid, Comunidad de Madrid",1379807357346193408,0,0,[],@PSOE @equipoGabilondo @elprogramadear Donde han vacunada en España con esa vacuna?
2021-04-07 14:44:39,listasadriand,1635230414,Madrid,1379807339218362370,0,0,[],"@adribc95 1° Puedes elegir no ponertela por ahora
2° Es un efecto secundario como cualquier fármaco o vacuna( mirat… https://t.co/AsruhWuFzK"
