,date,user_name,user_id,user_location,id_tweet,favorites,retweets,hashtags,text
200,2021-03-31 11:06:55,elindepcom,743456072673992704,"Madrid, Comunidad de Madrid",1377215829335506948,34,15,[],🔴 ÚLTIMA HORA | La vacuna de Pfizer muestra un 100% de efectividad en adolescentes https://t.co/zSPx4irA49
201,2021-03-31 11:06:34,ElDigitalAB,1219839072,"Albacete, España",1377215737954189313,0,0,[],CORONAVIRUS | Sanidad y comunidades autónomas acuerdan que la vacuna de AstraZeneca se administre a trabajadores esenciales mayores de 65 años - https://t.co/OocBTQUldN
202,2021-03-31 11:04:28,Gacetinmadrid,711593651546226688,"Comunidad de Madrid, España",1377215211086753802,2,0,"[{'text': 'Madrid', 'indices': [123, 130]}, {'text': 'Salud', 'indices': [131, 137]}, {'text': 'VacunaciónMadrid', 'indices': [138, 155]}, {'text': 'CoronavirusMadrid', 'indices': [156, 174]}, {'text': 'COVID19', 'indices': [175, 183]}]","La vacunación a mayores de 80 se paraliza por Semana Santa, aunque continúa a otros grupos en el Wanda y el Isabel Zendal

#Madrid #Salud #VacunaciónMadrid #CoronavirusMadrid #COVID19 https://t.co/GZNVjrCPhf"
203,2021-03-31 11:00:17,servaldepenas,75067067,"Valdepeñas, España",1377214159574679553,0,0,"[{'text': 'AstraZeneca', 'indices': [73, 85]}]","💉💉 Tras terminar este miércoles con la vacunación de la primera dosis de #AstraZeneca al profesorado. Además, de manera paralela se sigue con la vacunación de los mayores de 80 años 

https://t.co/LBBMVrLhdb"
204,2021-03-31 10:48:03,ElDigitalAB,1219839072,"Albacete, España",1377211079143649283,1,0,[],Piden priorizar a los pacientes crónicos en la vacunación contra la COVID-19 - https://t.co/agC4ntABce
205,2021-03-31 10:40:07,Kastorsan,189983620,Bilbao,1377209083246354432,0,0,[],"Alemania solo vacunará con AstraZeneca a mayores de 60 años. Quién tendrá razón, España o Alemania?

https://t.co/BkufFmU7Ul"
206,2021-03-31 10:28:59,murcia_com,2773556222,Murcia (España),1377206283405832192,0,0,"[{'text': 'YoMeVacuno', 'indices': [41, 52]}, {'text': 'salud', 'indices': [77, 83]}]","Por mí, por ti y por todas las personas, #YoMeVacuno
https://t.co/9xpDt9ZJ6N
#salud"
207,2021-03-31 10:27:37,pp_latina,3900814132,"Madrid, Comunidad de Madrid",1377205937749045249,5,4,[],"‼️ *ATENCIÓN* ‼️

🔴 Pablo Iglesias cerraría el hospital Isabel Zendal si llegara al gobierno de la Comunidad de Madrid. 

El salvavidas madrileño frente al COVID-19, el lugar de vacunación, la referencia internacional. https://t.co/W0diiOrcXC"
208,2021-03-31 10:17:09,Gacetinmadrid,711593651546226688,"Comunidad de Madrid, España",1377203305324118019,3,2,"[{'text': 'Madrid', 'indices': [123, 130]}, {'text': 'Salud', 'indices': [131, 137]}, {'text': 'VacunaciónMadrid', 'indices': [138, 155]}, {'text': 'CoronavirusMadrid', 'indices': [156, 174]}, {'text': 'COVID19', 'indices': [175, 183]}]","La vacunación a mayores de 80 se paraliza por Semana Santa, aunque continúa a otros grupos en el Wanda y el Isabel Zendal

#Madrid #Salud #VacunaciónMadrid #CoronavirusMadrid #COVID19
https://t.co/GZNVjrCPhf"
209,2021-03-31 10:15:03,_infoLibre,603884167,Madrid,1377202774828584962,2,1,[],Sanidad y comunidades acuerdan que la vacuna de AstraZeneca se administre a trabajadores esenciales mayores de 65 años https://t.co/EDkey7XZmt https://t.co/HyosIRFB9N
210,2021-03-31 10:08:29,AmigosDelPP,217735647,"Madrid, España",1377201122864205824,0,0,"[{'text': 'COVID19', 'indices': [148, 156]}, {'text': 'AyusoPresidenta', 'indices': [211, 227]}, {'text': 'YoConAyuso', 'indices': [228, 239]}]","‼️ATENCIÓN‼️

🔴 @PabloIglesias cerraría el hospital Isabel Zendal si llegara al gobierno de la @ComunidadMadrid 

El salvavidas madrileño frente al #COVID19, el lugar de vacunación, la referencia internacional.
#AyusoPresidenta #YoConAyuso 
📰 https://t.co/mGMImhy0DD"
211,2021-03-31 09:53:53,Inf_Benidorm,2282404014,Benidorm (Alicante),1377197450444869635,0,0,[],“Pasaporte” de vacunación del coronavirus: qué es y cómo solicitarlo https://t.co/lx4igZwPlN
212,2021-03-31 09:45:04,_infoLibre,603884167,Madrid,1377195229208535040,17,13,[],"El Sindicato de Enfermería califica el primer trimestre de vacunación en España de ""muy preocupante"" por la poca población inmunizada https://t.co/AuUJzL0Bc7 https://t.co/r2QDOCn89X"
213,2021-03-31 09:44:56,RadioAlbacete,858362046,"Albacete, España",1377195195637366785,2,2,[],CORONAVIRUS | Comienza la vacunación para los mayores de 56 años https://t.co/86ymFzQllq
214,2021-03-31 09:41:58,sorianoticias,436581338,Soria,1377194448124264449,0,0,[],"Las guarderías privadas de Burgos denuncian no tener acceso a la vacuna y “ser la única parte de la Educación que se queda fuera”

https://t.co/g1zSdOVYUu"
215,2021-03-31 09:40:20,SERCLM,595408904,"Castilla-La Mancha, España",1377194039443918850,0,0,[],Comienza la vacunación para los mayores de 56 años https://t.co/GFKDXlsMpp a través de @SER_Toledo
216,2021-03-31 09:39:24,alcoy,16579591,Alcoy,1377193803384168453,0,0,[],Diario Información: “Pasaporte” de vacunación del coronavirus: qué es y cómo solicitarlo https://t.co/2drdJPmsNK
217,2021-03-31 09:36:34,sorianoticias,436581338,Soria,1377193088981073920,0,0,[],"SATSE denuncia el retraso en la campaña de vacunación contra la Covid-19 en España

https://t.co/UYzTsd2GjP"
218,2021-03-31 09:34:34,CruisesNewsMG,103879454,Madrid,1377192588348948480,0,0,"[{'text': 'cruceros', 'indices': [72, 81]}, {'text': 'vacunacovid', 'indices': [82, 94]}, {'text': 'WindstarCruises', 'indices': [95, 111]}]",Windstar Cruises requerirá un certificado de vacunación a sus pasajeros #cruceros #vacunacovid #WindstarCruises https://t.co/odMcEn16Jn
219,2021-03-31 09:33:04,AlicanteDirecto,949233397540548610,"Alicante, España",1377192210681110530,0,0,"[{'text': 'AlicanteDirecto', 'indices': [115, 131]}, {'text': 'Noticias', 'indices': [132, 141]}, {'text': 'Alicante', 'indices': [142, 151]}, {'text': 'Alacant', 'indices': [152, 160]}, {'text': 'Fiestas', 'indices': [161, 169]}, {'text': 'Eventos', 'indices': [170, 178]}]",Noticias de Alicante: “Pasaporte” de vacunación del coronavirus: qué es y cómo solicitarlo https://t.co/XtJeA49LvQ #AlicanteDirecto #Noticias #Alicante #Alacant #Fiestas #Eventos
